event_id,ticker,catalyst_type,catalyst_date,indication_text,is_cns,status
1000488,OPK,Phase1,2026-12-31,MDX2301 (Tetravalent Bispecific Antibody),0,upcoming
1000489,OPK,Phase1/2,2027-06-30,MDX2004,0,upcoming
1000490,IRON,Phase2,2026-09-30,DISC-3405 (formerly MWTX-003),0,upcoming
1000491,MBRX,Phase2/3,2026-12-31,Annamycin + Ara-C (Cytarabine),0,upcoming
1000492,HOWL,Phase1,2026-12-31,WTX-124 +/- pembrolizumab (IL-2 INDUKINE™),0,upcoming
1000493,HOWL,Phase1/2,2026-12-31,WTX-330 (IL-2 INDUKINE™),0,upcoming
1000494,CALC,Phase1,2027-08-15,Auxora/Zegocractin (Zegocractin) (CRAC Channel Inhibitor),0,upcoming
1000495,EVMN,Phase2,2027-12-31,EVO756 (MRGPRX2 Antagonist),0,upcoming
1000496,CUE,Phase2,2026-09-30,CUE-221 (Anti-IgE Antibody),0,upcoming
1000497,CORT,PDUFA,2026-12-17,Relacorilant,0,upcoming
1000498,AGIO,Phase1,2026-12-31,AG-181,0,upcoming
1000499,QURE,Phase1/2,2027-06-30,AMT-260,0,upcoming
1000500,HCM,Phase2,2027-12-31,IMG-007 (OX40 Antagonist),0,upcoming
1000501,ALT,Phase3,2029-12-31,Pemvidutide (ALT-801) (GLP-1R/GCGR),0,upcoming
1000502,DSGN,Phase1/2,2027-03-31,DT-216P2,0,upcoming
1000503,KRYS,Phase1/2,2027-06-30,Inhaled KB707,0,upcoming
1000504,KRYS,Phase1,2027-12-31,KB408,0,upcoming
1000505,DSGN,Phase2,2027-12-31,DT-168,0,upcoming
1000506,CRBP,Phase1,2026-09-30,CRB-913,0,upcoming
1000507,HRMY,Phase1,2026-12-31,BP1.15205,0,upcoming
1000508,HRMY,Phase3,2027-08-15,WAKIX® (pitolisant),0,upcoming
1000509,HRMY,PDUFA,2027-04-01,WAKIX/Pitolisant GR (H3 Antagonist),0,upcoming
1000510,KROS,Phase2,2027-06-30,KER-065,0,upcoming
1000511,DFTX,Phase3,2026-09-30,DT120 (formerly MM120; lysergide D-tartrate),0,upcoming
1000512,RAPP,Phase2,2026-10-31,RAP-219,0,upcoming
1000513,TYRA,Phase2,2027-03-31,TYRA-300,0,upcoming
1000514,TYRA,Phase2,2026-09-30,TYRA-300,0,upcoming
1000515,NVCT,Phase1,2026-10-23,NXP200 (BRAF Inhibitor),0,upcoming
1000516,QTTB,Phase2,2026-12-31,Bempikibart (ADX-914) ,0,upcoming
1000517,STOK,Phase1,2027-06-30,STK-002,0,upcoming
1000518,ARVN,Phase1,2027-06-30,ARV-027 (PolyQ-AR Degrader),0,upcoming
1000519,TYRA,Phase2,2027-12-31,Dabogratinib (TYRA-300) (FGFR3 Inhibitor),0,upcoming
1000520,PEPG,Phase2,2026-11-30,PGN-EDODM1,0,upcoming
1000521,ABCL,Phase2,2026-08-31,ABCL635,0,upcoming
1000522,AMLX,Phase1,2026-09-30,AMX0114,0,upcoming
1000523,MIRM,Phase3,2026-09-30,Brelovitug (HBsAg Antibody),0,upcoming
1000524,CHRS,Phase2,2026-10-31,Casdozokitug (casdozo) combination,0,upcoming
1000525,CHRS,Phase1,2026-10-31,Tagmokitug (CCR8 Antibody),0,upcoming
1000526,PRAX,PDUFA,2026-12-27,Relutrigine (PRAX-562),0,upcoming
1000527,TNYA,Phase1/2,2026-12-31,TN-401,0,upcoming
1000528,PRAX,Phase2/3,2026-12-31,Vormatrigine (PRAX-628),0,upcoming
1000529,ABCL,Phase1,2026-12-31,ABCL575,0,upcoming
1000530,IMCR,Phase1/2,2027-03-31,IMC-M113V (Gag-A02),0,upcoming
1000531,RNAC,Phase3,2027-03-31,Descartes-08,0,upcoming
1000532,BMEA,Phase2,2027-03-31,BMF-219 (icovamenib) + GLP-1-based therapy,0,upcoming
1000533,AVTX,Phase3,2027-06-30,AVTX-009,0,upcoming
